session_code,participant_code,treatment,round_number,selection,delegation,automation,stop_click,prob_1,prob_2,prob_3,prob_selected,payoff_round,payoff_total,attraction_p1,attraction_p2,attraction_p3,choice_prob_p1,choice_prob_p2,choice_prob_p3,payoff_p1,payoff_p2,payoff_p3,perception,payment_id_m,earnings_t,active_time_sel,active_time_fb,active_time_ss,animal_answer,attention_answer,start_timestamp,start_timestamp_readable,age,gender,nationality,university,field_of_study,income_level
uve69lvi,2wstpaif,7,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uve69lvi,nlqsokea,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uve69lvi,3kb3kmbt,7,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uve69lvi,bmrlqp6d,7,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uve69lvi,h1j1tg8r,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uve69lvi,4e12t0z3,7,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uve69lvi,kbh7x7aj,7,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uve69lvi,z1j5pxim,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uve69lvi,2wstpaif,7,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uve69lvi,nlqsokea,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uve69lvi,3kb3kmbt,7,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uve69lvi,bmrlqp6d,7,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uve69lvi,h1j1tg8r,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uve69lvi,4e12t0z3,7,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uve69lvi,kbh7x7aj,7,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uve69lvi,z1j5pxim,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uve69lvi,2wstpaif,7,3,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uve69lvi,nlqsokea,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uve69lvi,3kb3kmbt,7,3,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uve69lvi,bmrlqp6d,7,3,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uve69lvi,h1j1tg8r,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uve69lvi,4e12t0z3,7,3,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uve69lvi,kbh7x7aj,7,3,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uve69lvi,z1j5pxim,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uve69lvi,2wstpaif,7,4,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uve69lvi,nlqsokea,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uve69lvi,3kb3kmbt,7,4,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uve69lvi,bmrlqp6d,7,4,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uve69lvi,h1j1tg8r,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uve69lvi,4e12t0z3,7,4,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uve69lvi,kbh7x7aj,7,4,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uve69lvi,z1j5pxim,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uve69lvi,2wstpaif,7,5,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uve69lvi,nlqsokea,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uve69lvi,3kb3kmbt,7,5,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uve69lvi,bmrlqp6d,7,5,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uve69lvi,h1j1tg8r,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uve69lvi,4e12t0z3,7,5,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uve69lvi,kbh7x7aj,7,5,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uve69lvi,z1j5pxim,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uve69lvi,2wstpaif,7,6,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uve69lvi,nlqsokea,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uve69lvi,3kb3kmbt,7,6,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uve69lvi,bmrlqp6d,7,6,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uve69lvi,h1j1tg8r,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uve69lvi,4e12t0z3,7,6,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
