session.code,participant.code,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,ba1,ba2,ba3,ba4,extraversion,agreeableness,conscientiousness,neuroticism,openness,loc1,loc2,loc3,loc4,loc5,loc6,loc7,loc8,loc9,loc10,loc_general,t1,t3,t3,t4,t5,trust,start_timestamp,start_timestamp_readable,payoff_total_final,payment_id_m,payment_id_m,earnings_t,understanding_beginning,instructions,approach,any_problems,open_comments
a1833njq,z29nv2mj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1833njq,xv71pv6s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1833njq,tt4dkgux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1833njq,lbgxu15e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1833njq,zlbllq7b,7,6,6,6,6,2,6,6,6,6,7,5,6,5,6,5,2,7,4,4.666666666666667,6.0,5.666666666666667,6.333333333333333,6.0,6,4,6,5,3,7,5,4,4,5,4.714285714285714,5,4,4,4,6,4.666666666666667,1677602066,2023-02-28 16:34:26,42.0,2o93yxl8,2o93yxl8,5.46,,,,,
a1833njq,vwuxecjq,3,3,1,5,6,1,6,7,7,3,7,7,3,3,5,5,2,7,4,4.0,5.666666666666667,3.6666666666666665,2.3333333333333335,6.666666666666667,7,7,6,6,7,6,6,5,7,7,6.428571428571429,4,3,3,4,4,4.0,1677603274,2023-02-28 16:54:34,35.599999999999994,d2qtex77,d2qtex77,4.627999999999999,,,,,
a1833njq,cgbe516f,2,2,3,6,5,5,4,7,7,7,4,6,5,3,6,5,2,7,4,5.333333333333333,5.666666666666667,4.666666666666667,2.3333333333333335,6.0,5,6,3,4,3,7,4,3,5,6,4.285714285714286,5,3,3,5,7,4.333333333333333,1677610743,2023-02-28 18:59:03,48.0,mrl10yhx,mrl10yhx,6.24,,,,,
a1833njq,79lde44m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1833njq,kkmybuu7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1833njq,7uczmgh6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
